BED	BEDcount	TXT	TXTcount	Category	Name	DO_URL	DOID	ICD9
Allergy	160			immunological	Allergy			995.3
Alopecia_areata	66			immunological	Alopecia_areata			704.01
Alzheimers_combined	175			neurological	Alzheimers_combined			331
Ankylosing_spondylitis	207				Ankylosing_spondylitis			720
Asthma	121				Asthma			493.9
Atopic_dermatitis	118				Atopic_dermatitis			
Autoimmune_thyroiditis	48				Autoimmune_thyroiditis			245.2
Behcets_disease	66				Behcets_disease			136.1
Bone_mineral_density	430				Bone_mineral_density			733.9
C_reactive_protein	141				C_reactive_protein			790
Celiac_disease	370				Celiac_disease			579
Chronic_kidney_disease	197				Chronic_kidney_disease			585
Creatinine_levels	47				Creatinine_levels			790.6
Crohns_disease	787				Crohns_disease			555
Fasting_glucose_related_traits	110				Fasting_glucose_related_traits			790.2
HDL_cholesterol	331				HDL_cholesterol			272.4
Juvenile_idiopathic_arthritis	236				Juvenile_idiopathic_arthritis			714.3
Kawasaki_disease	56				Kawasaki_disease			446.1
LDL_cholesterol	261				LDL_cholesterol			272
Liver_enzyme_levels_gamma_glutamyl_transferase	173				Liver_enzyme_levels_gamma_glutamyl_transferase			796.4
Migraine	63				Migraine			346
Multiple_sclerosis	696				Multiple_sclerosis			340
Platelet_counts	368				Platelet_counts			790
Primary_biliary_cirrhosis	275				Primary_biliary_cirrhosis			571.6
Primary_sclerosing_cholangitis	80				Primary_sclerosing_cholangitis			576.1
Progressive_supranuclear_palsy	74				Progressive_supranuclear_palsy			333
Psoriasis	264				Psoriasis			696
Red_blood_cell_traits	299				Red_blood_cell_traits			790
Renal_function_related_traits_BUN	128				Renal_function_related_traits_BUN			584
Restless_legs_syndrome	46				Restless_legs_syndrome			333.99
Rheumatoid_arthritis	195				Rheumatoid_arthritis			714
Systemic_lupus_erythematosus	221				Systemic_lupus_erythematosus			710
Systemic_sclerosis	43				Systemic_sclerosis			710.1
Triglycerides	234				Triglycerides			272
Type_1_diabetes	339				Type_1_diabetes			250.01
Type_2_diabetes	522				Type_2_diabetes			250
Ulcerative_colitis	447				Ulcerative_colitis			556
Urate_levels	192				Urate_levels			274
Vitiligo	155				Vitiligo			709
