term1	term2	sharedRels	obsExp	minMim	directStr	relOverlap	misn
KAWASAKI DISEASE	KAWASAKI DISEASE	1076	14.152	3296.251966		1	0.932621194
KAWASAKI DISEASE	Systemic lupus erythematosus	929	5.378	275.742327	67.6	0.8633829	0.253654632
KAWASAKI DISEASE	C-Reactive Protein	910	5.373	227.126976	115.2	0.845724907	0.235662346
KAWASAKI DISEASE	Rheumatoid Arthritis	891	4.701	171.7373366	30.7	0.828066914	0.239259671
KAWASAKI DISEASE	Renal failure	864	4.644	225.398479	12	0.802973978	0.188116566
KAWASAKI DISEASE	red blood cells	804	4.027	106.3927236	4	0.747211896	0.156987254
KAWASAKI DISEASE	platelets	780	4.102	145.2446053	16.3	0.724907063	0.160801506
KAWASAKI DISEASE	Type 2 diabetes	723	3.773	64.26891199		0.671933086	0.114759332
KAWASAKI DISEASE	Type 1 diabetes	718	4.735	82.32158827	9.6	0.667286245	0.157564316
KAWASAKI DISEASE	Ulcerative colitis	707	5.519	129.2250358	2.6	0.657063197	0.179158977
KAWASAKI DISEASE	Multiple Sclerosis	707	4.554	85.52930197	8.8	0.657063197	0.181576468
KAWASAKI DISEASE	Allergies	684	4.804	172.2410395	12.1	0.635687732	0.163839426
KAWASAKI DISEASE	Psoriasis	667	5.103	184.0079996	23.8	0.619888476	0.189833815
KAWASAKI DISEASE	Systemic sclerosis	643	6.232	151.610305	7.2	0.597583643	0.202793635
KAWASAKI DISEASE	Behçet`s disease	633	7.048	275.6866216	37	0.588289963	0.280035697
KAWASAKI DISEASE	triglycerides	603	4.001	119.4335877	5.1	0.560408922	0.103884838
KAWASAKI DISEASE	Alzheimer`s disease	564	3.017	40.11024612		0.524163569	7.68E-02
KAWASAKI DISEASE	chronic kidney disease	552	4.786	67.28119932	3.1	0.513011152	0.140765562
KAWASAKI DISEASE	atopic dermatitis	512	4.736	135.8249344	30.8	0.475836431	0.153558548
KAWASAKI DISEASE	ankylosing spondylitis	507	5.676	113.2953886	2.6	0.471189591	0.172511646
