	Row.names	c1	c2	adj.P.Val	V2
1	wgEncodeHaibTfbsGm12878Nficsc81335V0422111PkRep1	-0.0696025685181201	0.000199545526272736	1.66420343763272e-05	GM12878 NFIC v042211.1 ChIP-seq Peaks Rep 1 from ENCODE/HAIB
2	wgEncodeHaibTfbsGm12878Foxm1sc502V0422111PkRep1	-0.176492338196249	0.00265662375635571	1.66420343763272e-05	GM12878 FOXM1 v042211.1 ChIP-seq Peaks Rep 1 from ENCODE/HAIB
3	wgEncodeHaibTfbsGm12878Runx3sc101553V0422111PkRep2	-0.205674968494273	0.00165039181847451	1.66420343763272e-05	GM12878 RUNX3 v042211.1 ChIP-seq Peaks Rep 2 from ENCODE/HAIB
4	wgEncodeOpenChromFaireGm12892Pk	-0.228854600936868	0.00142888614762413	2.37164417934645e-05	GM12892 FAIRE Peaks from ENCODE/OpenChrom(UNC)
5	wgEncodeHaibTfbsGm12878Pmlsc71910V0422111PkRep2	-0.124383909274471	0.000460308949584532	2.84909868491668e-05	GM12878 PML v042211.1 ChIP-seq Peaks Rep 2 from ENCODE/HAIB
6	wgEncodeHaibTfbsGm12878Mta3sc81325V0422111PkRep2	-0.0466562181106809	6.72885413925503e-05	3.61699029511181e-05	GM12878 MTA3 v042211.1 ChIP-seq Peaks Rep 2 from ENCODE/HAIB
7	wgEncodeHaibTfbsGm12878Stat5asc74442V0422111PkRep2	-0.215208647513113	0.00138695447148114	3.61699029511181e-05	GM12878 STAT5A v042211.1 ChIP-seq Peaks Rep 2 from ENCODE/HAIB
8	wgEncodeHaibTfbsGm12878Atf2sc81188V0422111PkRep1	-0.196185749899981	0.00206453765945119	3.61699029511181e-05	GM12878 ATF2 v042211.1 ChIP-seq Peaks Rep 1 from ENCODE/HAIB
9	wgEncodeHaibTfbsGm12878Runx3sc101553V0422111PkRep1	-0.117322467267149	0.00177637630972191	4.26665675561869e-05	GM12878 RUNX3 v042211.1 ChIP-seq Peaks Rep 1 from ENCODE/HAIB
10	wgEncodeBroadHistoneGm12878H3k9me3StdPk	-2.14433929688979e-06	7.23668371419353e-08	4.63576815966543e-05	GM12878 H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
11	wgEncodeHaibTfbsGm12878Atf2sc81188V0422111PkRep2	-0.239115442463502	0.00731504942269079	4.63576815966543e-05	GM12878 ATF2 v042211.1 ChIP-seq Peaks Rep 2 from ENCODE/HAIB
12	wgEncodeHaibTfbsGm12878Stat5asc74442V0422111PkRep1	-0.316894712225886	0.0077856343035124	5.98543902606027e-05	GM12878 STAT5A v042211.1 ChIP-seq Peaks Rep 1 from ENCODE/HAIB
13	wgEncodeUwDgfTh2wb54553204Hotspots	-0.0369168609655784	0.000678302290268581	7.73132587245907e-05	Th2 Wb54553204 DNaseI DGF Hotspots from ENCODE/UW
14	wgEncodeHaibTfbsGm12878Pol2Pcr2xPkRep1	-0.176908889001974	0.00259840706567228	7.8634752916914e-05	GM12878 Pol2 PCR2x ChIP-seq Peaks Rep 1 from ENCODE/HAIB
15	wgEncodeHaibTfbsGm12878Mta3sc81325V0422111PkRep1	-0.183458691370149	0.000935193990746645	0.000126476321048083	GM12878 MTA3 v042211.1 ChIP-seq Peaks Rep 1 from ENCODE/HAIB
16	wgEncodeOpenChromChipGm12878Pol2Pk	-0.200626881638581	0.00845811367104965	0.000163137636623355	GM12878 Pol2 TFBS ChIP-seq Peaks from ENCODE/OpenChrom-UTA
17	wgEncodeUwHistoneGm12875H3k04me3StdHotspotsRep1	-0.336098979536854	0.00712035988382378	0.000223998891741751	GM12875 H3K4me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW
18	wgEncodeUwDnaseTh2wb54553204HotspotsRep1	-0.0831388286210604	0.00199366886286277	0.000238147401732111	Th2 Wb54553204 DNaseI HS HotSpots Rep 1 from ENCODE/UW
19	wgEncodeBroadHistoneCd20H2azPk	-0.00201225011858698	2.43179923371193e-06	0.000240901706330536	CD20+ H2A.Z Histone Mods by ChIP-seq Peaks from ENCODE/Broad
20	wgEncodeSydhTfbsGm12878P300bStdPk	-0.303924118554103	0.00396639279608152	0.000240901706330536	GM12878 p300 SC584 Standard ChIP-seq Peaks from ENCODE/SYDH
21	wgEncodeBroadHistoneGm12878H3k4me2StdPk	-0.00588330510286984	1.46497266456186e-05	0.00026213954306359	GM12878 H3K4me2 Histone Mods by ChIP-seq Peaks from ENCODE/Broad
22	wgEncodeHaibTfbsGm12878Nfatc1sc17834V0422111PkRep2	-0.227851854705616	0.000276784136667572	0.000328242526224902	GM12878 NFATC1 v042211.1 ChIP-seq Peaks Rep 2 from ENCODE/HAIB
