Disease 1	Disease 2	Corr. coefficient
Multiple_sclerosis	Systemic_lupus_erythematosus	0.455707669258118
Celiac_disease	Multiple_sclerosis	0.439155131578445
Kawasaki_disease	Systemic_lupus_erythematosus	0.438324391841888
Primary_biliary_cirrhosis	Systemic_lupus_erythematosus	0.392823398113251
HDL_cholesterol	LDL_cholesterol	0.388991385698318
Platelet_counts	Triglycerides	0.384685546159744
Rheumatoid_arthritis	Ulcerative_colitis	0.356583058834076
HDL_cholesterol	Triglycerides	0.350329637527466
Multiple_sclerosis	Primary_biliary_cirrhosis	0.332157373428345
LDL_cholesterol	Triglycerides	0.281749755144119
Celiac_disease	Systemic_lupus_erythematosus	0.281612247228622
Ankylosing_spondylitis	Ulcerative_colitis	0.263424068689346
Psoriasis	Systemic_lupus_erythematosus	0.250219345092773
Chronic_kidney_disease	Urate_levels	0.243771195411682
Kawasaki_disease	Multiple_sclerosis	0.230265870690346
Alzheimers_combined	Restless_legs_syndrome	0.222692549228668
HDL_cholesterol	Platelet_counts	0.221651673316956
Autoimmune_thyroiditis	Multiple_sclerosis	0.220571845769882
Liver_enzyme_levels_gamma_glutamyl_transferase	Platelet_counts	0.220249101519585
Atopic_dermatitis	C_reactive_protein	0.218483254313469
Ankylosing_spondylitis	Crohns_disease	0.218415781855583
Celiac_disease	Primary_biliary_cirrhosis	0.209357351064682
C_reactive_protein	Rheumatoid_arthritis	0.206692889332771
Allergy	Progressive_supranuclear_palsy	0.195926532149315
Alopecia_areata	Chronic_kidney_disease	0.192132011055946
Autoimmune_thyroiditis	Crohns_disease	0.190235391259193
Crohns_disease	Ulcerative_colitis	0.183820486068726
Liver_enzyme_levels_gamma_glutamyl_transferase	Urate_levels	0.181317567825317
Triglycerides	Type_2_diabetes	0.180540069937706
Liver_enzyme_levels_gamma_glutamyl_transferase	Triglycerides	0.175708010792732
Bone_mineral_density	Chronic_kidney_disease	0.174060493707657
LDL_cholesterol	Urate_levels	0.169644147157669
Chronic_kidney_disease	LDL_cholesterol	0.1694395840168
Autoimmune_thyroiditis	C_reactive_protein	0.167606040835381
C_reactive_protein	Ulcerative_colitis	0.167100965976715
Platelet_counts	Red_blood_cell_traits	0.164493024349213
Asthma	Rheumatoid_arthritis	0.164194509387016
HDL_cholesterol	Urate_levels	0.163661897182465
Kawasaki_disease	Primary_biliary_cirrhosis	0.161212712526321
Multiple_sclerosis	Psoriasis	0.159756511449814
Asthma	Bone_mineral_density	0.158470004796982
Alopecia_areata	Rheumatoid_arthritis	0.157584697008133
Kawasaki_disease	Psoriasis	0.1572455316782
Chronic_kidney_disease	Progressive_supranuclear_palsy	0.155610337853432
Atopic_dermatitis	Autoimmune_thyroiditis	0.153897941112518
C_reactive_protein	Renal_function_related_traits_BUN	0.153372496366501
Rheumatoid_arthritis	Type_1_diabetes	0.148096889257431
LDL_cholesterol	Liver_enzyme_levels_gamma_glutamyl_transferase	0.146812036633492
Migraine	Systemic_sclerosis	0.143977239727974
Autoimmune_thyroiditis	Rheumatoid_arthritis	0.143625840544701
Alzheimers_combined	Systemic_sclerosis	0.14201083779335
