Disease 1	Disease 2	Corr. coefficient
Multiple_sclerosis	Systemic_lupus_erythematosus	0.631235778331757
Primary_biliary_cirrhosis	Systemic_lupus_erythematosus	0.552784204483032
Rheumatoid_arthritis	Ulcerative_colitis	0.546741425991058
Multiple_sclerosis	Primary_biliary_cirrhosis	0.495885789394379
HDL_cholesterol	LDL_cholesterol	0.479763865470886
Kawasaki_disease	Systemic_lupus_erythematosus	0.466809421777725
Alzheimers_combined	Restless_legs_syndrome	0.451537638902664
HDL_cholesterol	Triglycerides	0.435395687818527
Psoriasis	Systemic_lupus_erythematosus	0.407010674476624
Celiac_disease	Multiple_sclerosis	0.401689797639847
HDL_cholesterol	Platelet_counts	0.38764488697052
Atopic_dermatitis	Restless_legs_syndrome	0.37666180729866
Celiac_disease	Systemic_lupus_erythematosus	0.376040935516357
Celiac_disease	Primary_biliary_cirrhosis	0.373310089111328
C_reactive_protein	Rheumatoid_arthritis	0.353150814771652
Asthma	Rheumatoid_arthritis	0.352573245763779
LDL_cholesterol	Triglycerides	0.351570188999176
Platelet_counts	Triglycerides	0.343487203121185
Primary_biliary_cirrhosis	Psoriasis	0.343319356441498
Autoimmune_thyroiditis	Multiple_sclerosis	0.342226833105087
Liver_enzyme_levels_gamma_glutamyl_transferase	Platelet_counts	0.321197181940079
Kawasaki_disease	Primary_biliary_cirrhosis	0.318408489227295
Autoimmune_thyroiditis	Rheumatoid_arthritis	0.299613684415817
Renal_function_related_traits_BUN	Urate_levels	0.2994125187397
Bone_mineral_density	Creatinine_levels	0.294912815093994
Triglycerides	Type_2_diabetes	0.288187295198441
Chronic_kidney_disease	Urate_levels	0.286346614360809
Restless_legs_syndrome	Type_1_diabetes	0.285412490367889
Multiple_sclerosis	Psoriasis	0.276475638151169
Migraine	Systemic_sclerosis	0.273950129747391
Autoimmune_thyroiditis	C_reactive_protein	0.272616118192673
Ankylosing_spondylitis	Celiac_disease	0.270575642585754
Kawasaki_disease	Multiple_sclerosis	0.268201172351837
Asthma	C_reactive_protein	0.267462491989136
Asthma	Type_1_diabetes	0.262228965759277
Fasting_glucose_related_traits	Type_2_diabetes	0.260853797197342
Chronic_kidney_disease	LDL_cholesterol	0.256267368793488
Alopecia_areata	Rheumatoid_arthritis	0.254563122987747
LDL_cholesterol	Platelet_counts	0.245592668652534
Asthma	Bone_mineral_density	0.243953824043274
Kawasaki_disease	Psoriasis	0.23888935148716
Alzheimers_combined	Atopic_dermatitis	0.236033827066422
Rheumatoid_arthritis	Type_1_diabetes	0.232371419668198
Celiac_disease	Juvenile_idiopathic_arthritis	0.231472834944725
Asthma	Juvenile_idiopathic_arthritis	0.227249264717102
Liver_enzyme_levels_gamma_glutamyl_transferase	Triglycerides	0.22149983048439
Platelet_counts	Red_blood_cell_traits	0.221213012933731
Asthma	Ulcerative_colitis	0.218310624361038
Alopecia_areata	Ulcerative_colitis	0.210012972354889
Alzheimers_combined	Chronic_kidney_disease	0.208208605647087
Alopecia_areata	C_reactive_protein	0.207908466458321
Autoimmune_thyroiditis	Crohns_disease	0.206298187375069
Chronic_kidney_disease	HDL_cholesterol	0.204668924212456
Bone_mineral_density	Fasting_glucose_related_traits	0.203532323241234
Alzheimers_combined	Bone_mineral_density	0.198838070034981
Liver_enzyme_levels_gamma_glutamyl_transferase	Type_2_diabetes	0.196373283863068
Alopecia_areata	Asthma	0.193929478526115
HDL_cholesterol	Urate_levels	0.193768680095673
Ankylosing_spondylitis	Platelet_counts	0.192912206053734
Behcets_disease	Juvenile_idiopathic_arthritis	0.192766308784485
Alopecia_areata	Urate_levels	0.192637920379639
Liver_enzyme_levels_gamma_glutamyl_transferase	Urate_levels	0.189608573913574
Platelet_counts	Primary_sclerosing_cholangitis	0.188396438956261
Migraine	Platelet_counts	0.186995178461075
Allergy	Restless_legs_syndrome	0.185937404632568
Bone_mineral_density	Renal_function_related_traits_BUN	0.185538321733475
Bone_mineral_density	Chronic_kidney_disease	0.18429060280323
Renal_function_related_traits_BUN	Restless_legs_syndrome	0.182467192411423
LDL_cholesterol	Liver_enzyme_levels_gamma_glutamyl_transferase	0.179690390825272
Ankylosing_spondylitis	Ulcerative_colitis	0.179495915770531
Autoimmune_thyroiditis	Kawasaki_disease	0.177839815616608
Ankylosing_spondylitis	Primary_biliary_cirrhosis	0.176637798547745
Ankylosing_spondylitis	Primary_sclerosing_cholangitis	0.174822047352791
Asthma	Renal_function_related_traits_BUN	0.174253538250923
Juvenile_idiopathic_arthritis	Type_1_diabetes	0.17317321896553
Chronic_kidney_disease	Restless_legs_syndrome	0.17216295003891
Alzheimers_combined	C_reactive_protein	0.17203052341938
C_reactive_protein	Renal_function_related_traits_BUN	0.165029406547546
Chronic_kidney_disease	C_reactive_protein	0.163067504763603
Chronic_kidney_disease	Renal_function_related_traits_BUN	0.16039252281189
Celiac_disease	Systemic_sclerosis	0.156861633062363
Restless_legs_syndrome	Vitiligo	0.156706020236015
Alzheimers_combined	LDL_cholesterol	0.15501980483532
C_reactive_protein	Ulcerative_colitis	0.154176414012909
Juvenile_idiopathic_arthritis	Rheumatoid_arthritis	0.153206393122673
Alopecia_areata	Autoimmune_thyroiditis	0.152921006083488
Atopic_dermatitis	Psoriasis	0.152696311473846
Chronic_kidney_disease	Fasting_glucose_related_traits	0.152548030018806
Alopecia_areata	Primary_sclerosing_cholangitis	0.151639088988304
Behcets_disease	Celiac_disease	0.151521697640419
Creatinine_levels	Renal_function_related_traits_BUN	0.151084765791893
Asthma	Behcets_disease	0.150295153260231
Primary_sclerosing_cholangitis	Ulcerative_colitis	0.148515596985817
LDL_cholesterol	Urate_levels	0.147367030382156
HDL_cholesterol	Liver_enzyme_levels_gamma_glutamyl_transferase	0.147231608629227
C_reactive_protein	Urate_levels	0.146371185779572
Allergy	Systemic_lupus_erythematosus	0.145220518112183
Fasting_glucose_related_traits	Migraine	0.14359749853611
Celiac_disease	Kawasaki_disease	0.142391502857208
Atopic_dermatitis	Creatinine_levels	0.141413241624832
HDL_cholesterol	Primary_sclerosing_cholangitis	0.140392735600471
Crohns_disease	Multiple_sclerosis	0.139745786786079
Primary_sclerosing_cholangitis	Systemic_sclerosis	0.139232635498047
Atopic_dermatitis	Chronic_kidney_disease	0.138004377484322
Ankylosing_spondylitis	Triglycerides	0.137785971164703
Allergy	Vitiligo	0.136240497231483
Type_1_diabetes	Vitiligo	0.135312393307686
Alzheimers_combined	Fasting_glucose_related_traits	0.134071752429008
C_reactive_protein	Progressive_supranuclear_palsy	0.133933007717133
Chronic_kidney_disease	Creatinine_levels	0.13182769715786
Autoimmune_thyroiditis	Ulcerative_colitis	0.130635663866997
LDL_cholesterol	Red_blood_cell_traits	0.12974289059639
Alzheimers_combined	Type_1_diabetes	0.128529980778694
