Disease 1	Disease 2	Corr. coefficient
Kawasaki_disease	Systemic_lupus_erythematosus	0.718899488449097
HDL_cholesterol	LDL_cholesterol	0.688253879547119
Multiple_sclerosis	Systemic_lupus_erythematosus	0.668267071247101
Ankylosing_spondylitis	Crohns_disease	0.654837071895599
Bone_mineral_density	Type_2_diabetes	0.584011137485504
HDL_cholesterol	Triglycerides	0.527771711349487
Ankylosing_spondylitis	Ulcerative_colitis	0.502124607563019
Kawasaki_disease	Rheumatoid_arthritis	0.491223633289337
Alzheimers_combined	Type_2_diabetes	0.488375157117844
Kawasaki_disease	Multiple_sclerosis	0.487155854701996
LDL_cholesterol	Triglycerides	0.44200924038887
Multiple_sclerosis	Psoriasis	0.439240485429764
Chronic_kidney_disease	Type_2_diabetes	0.436928480863571
Alzheimers_combined	Bone_mineral_density	0.433288931846619
Multiple_sclerosis	Ulcerative_colitis	0.422615557909012
Psoriasis	Systemic_lupus_erythematosus	0.415324628353119
Celiac_disease	Systemic_lupus_erythematosus	0.39459890127182
Alzheimers_combined	Restless_legs_syndrome	0.392937690019608
Celiac_disease	Multiple_sclerosis	0.37657505273819
Celiac_disease	Psoriasis	0.356881231069565
Systemic_lupus_erythematosus	Ulcerative_colitis	0.352139711380005
Liver_enzyme_levels_gamma_glutamyl_transferase	Urate_levels	0.348294824361801
Multiple_sclerosis	Systemic_sclerosis	0.345874935388565
Bone_mineral_density	Chronic_kidney_disease	0.344356268644333
Migraine	Systemic_sclerosis	0.34040156006813
Rheumatoid_arthritis	Systemic_lupus_erythematosus	0.340114861726761
Atopic_dermatitis	Juvenile_idiopathic_arthritis	0.336077034473419
Crohns_disease	Ulcerative_colitis	0.333587288856506
Type_2_diabetes	Urate_levels	0.33112096786499
Fasting_glucose_related_traits	Triglycerides	0.330600291490555
Psoriasis	Ulcerative_colitis	0.321696251630783
Psoriasis	Systemic_sclerosis	0.317443072795868
LDL_cholesterol	Liver_enzyme_levels_gamma_glutamyl_transferase	0.316719233989716
C_reactive_protein	Primary_sclerosing_cholangitis	0.31154853105545
Celiac_disease	Ulcerative_colitis	0.311477661132812
Chronic_kidney_disease	Urate_levels	0.308313459157944
HDL_cholesterol	Liver_enzyme_levels_gamma_glutamyl_transferase	0.306570619344711
Liver_enzyme_levels_gamma_glutamyl_transferase	Platelet_counts	0.302955836057663
Alopecia_areata	Chronic_kidney_disease	0.302545487880707
Triglycerides	Type_2_diabetes	0.302401185035706
Kawasaki_disease	Psoriasis	0.301971256732941
Multiple_sclerosis	Primary_biliary_cirrhosis	0.298074245452881
Celiac_disease	Kawasaki_disease	0.293821781873703
Allergy	Multiple_sclerosis	0.289345264434814
Triglycerides	Urate_levels	0.286621361970901
Systemic_sclerosis	Ulcerative_colitis	0.285144567489624
Systemic_lupus_erythematosus	Systemic_sclerosis	0.275690674781799
Liver_enzyme_levels_gamma_glutamyl_transferase	Type_2_diabetes	0.272941738367081
Multiple_sclerosis	Rheumatoid_arthritis	0.271849691867828
HDL_cholesterol	Urate_levels	0.265073090791702
Primary_biliary_cirrhosis	Systemic_lupus_erythematosus	0.263246804475784
Autoimmune_thyroiditis	Kawasaki_disease	0.254535347223282
Kawasaki_disease	Ulcerative_colitis	0.249332517385483
Chronic_kidney_disease	Liver_enzyme_levels_gamma_glutamyl_transferase	0.24918121099472
Atopic_dermatitis	Platelet_counts	0.245843678712845
Liver_enzyme_levels_gamma_glutamyl_transferase	Triglycerides	0.24201725423336
Alzheimers_combined	Chronic_kidney_disease	0.238263458013535
Allergy	Rheumatoid_arthritis	0.238168895244598
HDL_cholesterol	Renal_function_related_traits_BUN	0.227608576416969
Allergy	Systemic_lupus_erythematosus	0.227373540401459
Bone_mineral_density	Triglycerides	0.22704866528511
Primary_biliary_cirrhosis	Systemic_sclerosis	0.223015800118446
Fasting_glucose_related_traits	HDL_cholesterol	0.223001584410667
Fasting_glucose_related_traits	LDL_cholesterol	0.205139115452766
C_reactive_protein	Type_2_diabetes	0.200422719120979
Bone_mineral_density	Urate_levels	0.193446978926659
Primary_biliary_cirrhosis	Psoriasis	0.191144287586212
Type_2_diabetes	Vitiligo	0.189947113394737
Autoimmune_thyroiditis	Systemic_lupus_erythematosus	0.185296893119812
C_reactive_protein	Triglycerides	0.184267058968544
Rheumatoid_arthritis	Ulcerative_colitis	0.181508019566536
LDL_cholesterol	Urate_levels	0.180308699607849
Celiac_disease	Rheumatoid_arthritis	0.179450526833534
Atopic_dermatitis	Ulcerative_colitis	0.174896031618118
Asthma	Bone_mineral_density	0.174604997038841
Chronic_kidney_disease	Triglycerides	0.174504771828651
Alzheimers_combined	Triglycerides	0.165258407592773
Atopic_dermatitis	HDL_cholesterol	0.163004860281944
Psoriasis	Rheumatoid_arthritis	0.161934077739716
Asthma	Chronic_kidney_disease	0.159318223595619
Alopecia_areata	Asthma	0.158457547426224
Alzheimers_combined	Urate_levels	0.156507879495621
Renal_function_related_traits_BUN	Triglycerides	0.153971955180168
Kawasaki_disease	Primary_biliary_cirrhosis	0.153081312775612
C_reactive_protein	Red_blood_cell_traits	0.150237321853638
Asthma	Type_2_diabetes	0.147991567850113
Allergy	Ulcerative_colitis	0.147038206458092
Alzheimers_combined	Liver_enzyme_levels_gamma_glutamyl_transferase	0.145749792456627
Platelet_counts	Triglycerides	0.1450584679842
LDL_cholesterol	Renal_function_related_traits_BUN	0.144792497158051
Celiac_disease	Primary_biliary_cirrhosis	0.143679454922676
Atopic_dermatitis	LDL_cholesterol	0.142821282148361
Allergy	Kawasaki_disease	0.142820447683334
Alzheimers_combined	Fasting_glucose_related_traits	0.142403155565262
Primary_biliary_cirrhosis	Ulcerative_colitis	0.141954973340034
C_reactive_protein	HDL_cholesterol	0.140864193439484
Type_1_diabetes	Vitiligo	0.140136674046516
C_reactive_protein	LDL_cholesterol	0.139999985694885
Atopic_dermatitis	Fasting_glucose_related_traits	0.130042776465416
Atopic_dermatitis	Renal_function_related_traits_BUN	0.125194147229195
Alopecia_areata	Type_2_diabetes	0.124192252755165
Atopic_dermatitis	Triglycerides	0.11916546523571
Autoimmune_thyroiditis	Multiple_sclerosis	0.11906560510397
Allergy	Celiac_disease	0.118637830018997
Kawasaki_disease	Systemic_sclerosis	0.11614315956831
Bone_mineral_density	Liver_enzyme_levels_gamma_glutamyl_transferase	0.115428477525711
Restless_legs_syndrome	Type_1_diabetes	0.11460754275322
Autoimmune_thyroiditis	Rheumatoid_arthritis	0.114364258944988
Fasting_glucose_related_traits	Platelet_counts	0.114231087267399
C_reactive_protein	Liver_enzyme_levels_gamma_glutamyl_transferase	0.11410803347826
Autoimmune_thyroiditis	Celiac_disease	0.109836161136627
Bone_mineral_density	Fasting_glucose_related_traits	0.10906083881855
Bone_mineral_density	Creatinine_levels	0.108611315488815
Juvenile_idiopathic_arthritis	Platelet_counts	0.108590818941593
Bone_mineral_density	Crohns_disease	0.107480324804783
Atopic_dermatitis	Celiac_disease	0.106659807264805
Celiac_disease	Systemic_sclerosis	0.106050938367844
Red_blood_cell_traits	Type_2_diabetes	0.105113491415977
Chronic_kidney_disease	HDL_cholesterol	0.101433873176575
Fasting_glucose_related_traits	Type_2_diabetes	0.097168818116188
Crohns_disease	Type_2_diabetes	0.0970888808369637
Allergy	Type_1_diabetes	0.0969843119382858
HDL_cholesterol	Platelet_counts	0.0966532826423645
Bone_mineral_density	C_reactive_protein	0.0961158499121666
Migraine	Systemic_lupus_erythematosus	0.0945869013667107
Chronic_kidney_disease	LDL_cholesterol	0.0944968834519386
Behcets_disease	Platelet_counts	0.0931625664234161
Alzheimers_combined	Asthma	0.090378999710083
Atopic_dermatitis	Behcets_disease	0.0894092470407486
Alopecia_areata	Bone_mineral_density	0.084776870906353
Chronic_kidney_disease	C_reactive_protein	0.0844135209918022
LDL_cholesterol	Platelet_counts	0.0840180069208145
Atopic_dermatitis	Primary_biliary_cirrhosis	0.0825772807002068
Asthma	Juvenile_idiopathic_arthritis	0.0818985849618912
Renal_function_related_traits_BUN	Urate_levels	0.0814713984727859
Restless_legs_syndrome	Type_2_diabetes	0.0810568630695343
Alzheimers_combined	Type_1_diabetes	0.0809182748198509
Creatinine_levels	Crohns_disease	0.0804044529795647
Alzheimers_combined	C_reactive_protein	0.0798758640885353
Primary_biliary_cirrhosis	Progressive_supranuclear_palsy	0.0740778744220734
Progressive_supranuclear_palsy	Type_2_diabetes	0.0740715861320496
Alopecia_areata	C_reactive_protein	0.0720614269375801
Rheumatoid_arthritis	Type_1_diabetes	0.0696609988808632
Celiac_disease	Juvenile_idiopathic_arthritis	0.0681307539343834
LDL_cholesterol	Type_2_diabetes	0.0679274424910545
Allergy	Psoriasis	0.0670673698186874
Primary_sclerosing_cholangitis	Ulcerative_colitis	0.066250205039978
Platelet_counts	Red_blood_cell_traits	0.0653273388743401
Asthma	Platelet_counts	0.0650904029607773
Primary_biliary_cirrhosis	Red_blood_cell_traits	0.0641190484166145
Allergy	Autoimmune_thyroiditis	0.0635127499699593
Liver_enzyme_levels_gamma_glutamyl_transferase	Renal_function_related_traits_BUN	0.0620854012668133
Chronic_kidney_disease	Vitiligo	0.0607309192419052
Liver_enzyme_levels_gamma_glutamyl_transferase	Type_1_diabetes	0.0571532100439072
Alopecia_areata	Vitiligo	0.0568738132715225
Migraine	Multiple_sclerosis	0.0547389797866344
Red_blood_cell_traits	Triglycerides	0.0533602721989155
C_reactive_protein	Fasting_glucose_related_traits	0.0527173541486263
Ankylosing_spondylitis	Multiple_sclerosis	0.0523598082363605
