"AML_SNP"	"BLCA_SNP"	"BRCA_SNP"	"CARC_SNP"	"CLL_SNP"	"CRC_SNP"	"DLBCL_SNP"	"ESO_SNP"	"GBM_SNP"	"HNSC_SNP"	"KIRC_SNP"	"LUAD_SNP"	"LUSC_SNP"	"MED_SNP"	"MEL_SNP"	"MM_SNP"	"NB_SNP"	"OV_SNP"	"PRAD_SNP"	"RHAB_SNP"	"UCEC_SNP"
"wgEncodeAffyRnaChipFiltTransfragsGm12878CellTotal"	4.08729512813047e-06	1.25351104755924e-104	7.80464365759514e-37	0.0492119289112262	0.286099063365448	5.03605129317515e-45	0.00403726219638217	-3.09297377188171e-24	-5.46776257668937e-12	1.800447698027e-05	2.71282494126259e-62	-2.38164589381504e-106	-1.11843101981222e-22	0.554104078423222	-3.65691056910569e-305	7.37413440597928e-06	0.679112436162672	3.35874631087284e-22	0.0137973578726868	0.510098941505102	3.33336975527786e-63
"wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongnonpolya"	2.95764527720645e-06	2.5603065161192e-80	5.85193778533209e-34	0.0272927890146435	0.101452280407353	4.19607401932641e-28	7.52138965843918e-05	-4.02557827994199e-23	-5.01715792059256e-09	1.11829928265593e-08	6.92349865184568e-48	-9.43260485995429e-62	-2.52567947402311e-15	0.32187259648713	-2.26257110093709e-257	1.65531792202952e-10	0.779238587270604	2.16260301367175e-15	0.0606086696379087	0.794246459018411	2.2324849740752e-41
"wgEncodeAffyRnaChipFiltTransfragsGm12878CytosolLongpolya"	3.35529379781644e-08	1.11533959130353e-162	1.68567333431447e-46	0.411654132712593	0.842305693712871	4.32543028538191e-55	0.51149470900135	-6.24628190984365e-36	-7.96885915513429e-27	1.12859995136317e-09	1.90922647880546e-92	-3.07298755134135e-222	-8.19038016724054e-34	0.163472422150554	-3.65691056910569e-305	4.06427009288357e-09	0.552136626188483	3.36699443187723e-23	0.00732333847398158	-1	7.82731714712028e-131
"wgEncodeAffyRnaChipFiltTransfragsGm12878NucleolusTotal"	3.55717178964945e-07	1.21959864779119e-69	2.84273579077247e-21	0.121727087745728	0.00337192000257673	0.0740053555041233	9.12284613290295e-07	-4.79156171553792e-12	-0.0690367485269202	1.36721002941308e-06	1.29188679432975e-40	-9.78168673154876e-54	-2.980726894444e-16	0.403332080504349	-2.09228049473396e-149	4.06717299932578e-07	0.581168022281088	6.02354538167578e-19	0.0060050985493614	0.992335132557115	3.00541753255054e-06
"wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongnonpolya"	0.000130985206876634	6.51076839352385e-96	1.02107781995232e-25	0.204509188154787	0.312929273877726	1.34264942349164e-37	0.0729498083657693	-2.80055442601555e-23	-3.96765663700413e-11	0.00171642260257437	1.92756579877948e-61	-1.43382889543936e-118	-8.1752248739954e-21	0.166711266104691	-3.65691056910569e-305	1.17698271789071e-08	0.882775446002131	6.60275304671745e-13	0.236209292105228	1	6.06218503267596e-69
"wgEncodeAffyRnaChipFiltTransfragsGm12878NucleusLongpolya"	7.7467579303712e-08	8.65411910359708e-132	6.91137348230462e-41	0.473956778678903	-0.8925828612371	6.34575591298272e-48	0.222950756088146	-4.04226697549645e-34	-2.81641596063622e-21	0.000371316853276424	4.1940465530935e-90	-5.26940444652713e-183	-5.19885292976985e-35	0.03242138950986	-3.65691056910569e-305	2.86889075328405e-08	0.798211374841182	1.06542627923659e-19	0.159165815305526	1	1.38286166782023e-106
"wgEncodeAffyRnaChipFiltTransfragsK562CellTotal"	3.36274421621365e-08	5.64002957290264e-154	1.01611639709891e-37	0.289495296957204	0.662864280577728	1.02129540306541e-35	0.0390445813730098	-1.79487670898347e-38	-3.63974701331776e-25	1.20055223864937e-05	1.12552541773849e-87	-1.88223598146189e-167	-3.21252450956509e-27	0.0593746389816836	-3.65691056910569e-305	2.53912224160911e-06	0.982091828662172	2.12553877592802e-09	0.00220544602003984	1	4.5878258223106e-89
"wgEncodeAffyRnaChipFiltTransfragsK562ChromatinTotal"	1.51370792323781e-08	6.86562373495205e-140	5.62928807288932e-41	0.453760619043576	-0.569311453456559	1.81591776695184e-53	0.182703347830391	-9.97986334643571e-34	-6.64820315868723e-31	1.28107280772878e-10	9.93663391051842e-92	-9.19285457725155e-171	-8.74172457283796e-27	0.0554204898052121	-3.65691056910569e-305	1.46105973085943e-07	0.882775446002131	1.14286530481568e-13	0.00407976424436233	-1	1.86389308202138e-105
"wgEncodeAffyRnaChipFiltTransfragsK562CytosolLongnonpolya"	0.0001033006853561	1.83933770735923e-71	9.09057322250436e-22	0.0265982048068957	0.829272865738177	6.8408650310218e-17	0.00636545027754195	-1.04003169036431e-24	-5.56771592206188e-11	0.000446311854908899	7.22554767902335e-43	-1.04877891339277e-88	-2.10041921523668e-19	0.0512535010978027	-2.39996632885167e-246	4.47440142170988e-07	-1	3.15295084187461e-05	0.0128501741570381	0.60999993619065	4.13609641220793e-53
"wgEncodeAffyRnaChipFiltTransfragsK562CytosolLongpolya"	2.40820251782502e-07	5.5025588249642e-169	2.58654202467061e-53	0.0943854436542956	-0.689512632141684	1.77122056019039e-44	0.511893939512866	-6.18458977300962e-34	-1.05356405982451e-19	2.36022368603758e-06	2.53003712711899e-96	-2.683013859163e-194	-1.33684323340304e-23	0.200313606249864	-3.65691056910569e-305	1.7097010067928e-07	0.953459002451086	1.55872618117656e-15	0.00171453601561665	-1	4.09641258419833e-96
