"MEL_SNP"	"MED_SNP"	"NB_SNP"	"AML_SNP"	"LUSC_SNP"	"CLL_SNP"	"GBM_SNP"	"LUAD_SNP"	"CRC_SNP"	"ESO_SNP"	"OV_SNP"	"RHAB_SNP"	"KIRC_SNP"	"UCEC_SNP"	"DLBCL_SNP"	"BRCA_SNP"	"PRAD_SNP"	"MM_SNP"	"CARC_SNP"	"HNSC_SNP"	"BLCA_SNP"
"wgEncodeCshlLongRnaSeqHepg2CellPapJunctions"	-1.51989325970623e-28	0.176455802690875	0.345925120487206	3.75109902914864e-07	-4.45294168191575e-33	-0.924772361483468	-0.699690363746228	-8.32439417834522e-166	8.89850462793346e-11	-1.3806153631393e-16	1.87359762872078e-10	0.731772128621263	2.72644761732927e-57	1.8999108993565e-33	-1.65507610816083e-09	1.04085095113906e-19	0.00725300689784521	3.57008648009999e-10	0.403296453474355	0.0156119540110672	4.10128135756372e-104
"wgEncodeSydhTfbsGm12878Srebp2IggrabPk"	-0.00595294656506098	-1	-1	-0.940109041570136	0.50962147713708	-0.57150627198709	-1	0.986736336877128	-0.000225524859985811	-0.70856962564499	0.462089997425355	-1	0.052584603472075	0.615149548936627	-1	0.314979387869153	-1	0.340202350856949	0.167856361544319	0.336253469469912	0.0110860223594233
"wgEncodeBroadHistoneCd20ro01794H3k27acPk"	-7.55599066279082e-285	0.907973381454927	-1	0.24699398389733	-7.3965484111488e-25	0.0230465986420545	-3.23663241124231e-16	-2.77741145554931e-133	2.07145514656073e-15	-7.69826139186648e-41	9.2263639945628e-05	-1	2.24389441317076e-108	1.37465629526504e-107	2.1476489647697e-08	2.99478632979739e-31	0.273374958516275	4.07013387406746e-22	0.732092197004871	0.0187888124958507	9.18658233204702e-130
"wgEncodeSydhTfbsH1hescCtbp2UcdPk"	-1.20357298120029e-45	-0.860013961801547	-1	-0.145556353572815	1.34936634932195e-06	0.00609443110235355	-1	0.001387916687092	-3.14551399457952e-14	7.02861880717449e-33	-0.272302410776627	0.905270712407166	0.984022617350117	-1.44046270847564e-27	5.28196605172394e-71	-0.00563637232645298	0.162335948519473	1.17155929286349e-12	0.80402354851994	6.97818080463641e-21	5.02262535036653e-22
"wgEncodeHaibMethylRrbsHepatocytesDukeSitesRep2"	-4.14479280529065e-13	0.232912602652342	1	0.77508621827957	-0.180162712127608	0.0045966377994754	3.49212043464021e-12	-0.848771066048956	-0.50857408004691	0.000137545508552191	-0.0308731276998323	-1	-0.000734409910313945	0.402167927097324	1.5036926593155e-11	-0.107170250530895	0.568657808200653	0.00080501354808398	0.842389297578678	0.0341567969238081	-0.502020888484438
"wgEncodeAwgSegmentationChromhmmK562"	3.43539658291794e-16	-0.330883228318066	0.918653155490294	0.974233573165629	0.000844088736816143	-0.845927751179102	-1.90851947456962e-05	-0.00076776302989539	3.12028059113693e-16	3.02727065053717e-05	0.750657576419364	1	7.42584554164497e-10	-2.05907510313305e-115	0.0972755774404802	-6.7338351860643e-13	0.00368332185252345	1.65866806675763e-17	-0.0158097678016176	7.16212513915167e-13	5.36984559176687e-45
"wgEncodeHaibMethylRrbsHsmmtOpenchromgrowprotSitesRep1"	-5.94260281929395e-12	0.341047743662694	0.909385340904386	0.607701953096212	-0.158978321022227	0.0034290270735536	9.97098761189071e-10	0.60571973172236	-0.159483902853477	0.000261692173808563	-0.0277122280920012	-1	-0.000358360383835938	0.970606444763685	9.42735924127437e-14	-0.245951422827577	0.374354500930615	0.00192884143935366	0.591646658040557	0.0477720921369576	-0.867149966707449
"wgEncodeUwHistonePanc1H3k04me3StdPkRep1"	-2.30913699348974e-28	0.970365603498975	-1	0.440285206171918	-0.662872437705153	0.000486467574558172	-0.926761061640859	-0.0169104092956374	-6.71626400885761e-08	-0.69483185222735	0.282096384050281	-1	5.21829702840466e-05	-5.36859812817939e-16	1.55186465276791e-23	0.00100764109706288	0.481778818892125	1.59790766832781e-16	0.577126332249296	6.27249059615478e-13	2.93297777200391e-79
"wgEncodeUwDnaseHahPkRep2"	-5.76023785105988e-15	-0.527802245241973	1	-0.715055745770405	0.13627102960786	0.691450074376327	-0.498687615349737	-0.157681576341518	-0.00675102976690132	1	0.0763089847427448	0.84189335283738	5.83761850602517e-11	-2.64933222793847e-08	2.31812798665699e-05	0.0121575622657656	0.833132967940391	5.29147587043885e-05	0.766867189202253	0.0287426734426914	7.29144933657488e-32
"wgEncodeSydhTfbsHelas3Elk112771IggrabPk"	-1.09865726719644e-17	0.946313576700145	-0.984970150991105	0.8802463438496	0.0399665249304698	4.45158784347393e-10	-0.193976938094881	-0.0730138559697826	-5.67874333469365e-29	-0.817630316645675	3.91795391569623e-08	0.634855880653363	1.1447967099299e-28	-2.49305381196596e-59	1.12640986781572e-19	8.89899757312646e-13	0.706513483654979	1.24584661802789e-18	0.0829099790945634	7.75779815293753e-15	9.99947580460227e-107
"wgEncodeUwHistoneHbmecH3k4me3StdPkRep2"	-4.12391924994247e-38	-0.958809419208019	-1	0.898109804625575	0.293413734445	9.08006421634128e-07	-0.809679731391403	-0.0022699276847487	-3.35478926265266e-11	0.155055563335979	0.433731465814737	0.956082857115607	2.1024075275342e-19	-1.41782469423768e-38	1.66156498488674e-67	0.0917835712547587	-1	2.39739165634015e-36	0.0126707915568843	1.97825191377026e-14	1.94571149621161e-101
"wgEncodeUwRepliSeqK562PkRep1"	-0.0784037136148437	0.878286396239046	1	-0.9336562108055	-0.397665499756639	0.308640686917418	-0.788841695304948	0.915835042474679	0.996493750968032	0.861671057735304	-0.488862149796026	0.841942049950308	0.0832502039847577	-0.965197119977554	0.389900625504575	0.823184316777078	0.848589764371469	-0.779691709143786	-0.225838552155953	0.903186722920604	0.0431569383774357
"wgEncodeHaibTfbsH1hescMaxV0422111PkRep2"	-2.98528707760057e-54	0.831362376600774	-0.905340207763028	0.756061254933723	4.22342903255788e-05	0.000194505758270059	0.0665693035401026	-0.318554973867013	-4.53947337258399e-38	4.14649967616918e-20	-0.402933949183383	0.0167570396429326	7.9079793860644e-14	-3.11291138535777e-61	1.45643687845651e-69	0.132219597965433	0.0793974414241301	1.26539143718203e-31	0.196163087879705	3.51835545403055e-31	1.01316655687973e-122
"wgEncodeAwgTfbsHaibPfsk1NrsfPcr2xUniPk"	-0.0269643603536383	0.958809419208019	0.958697445022575	1	0.0480717761839953	0.787404713427715	-0.244200988023406	0.0205948488234153	-2.30237585172847e-05	0.086301695085576	0.522550940886077	0.996876657849511	0.079901309543256	-1.44606771846384e-13	0.0143827579690972	0.00146670455566181	0.68122884092746	9.73135769131939e-05	-0.554236284526884	0.236292087280282	2.16385937083452e-07
"wgEncodeUwTfbsGm12874CtcfStdPkRep2"	-7.66346971287994e-10	-1	0.892203545111288	-0.746722413357134	0.00678996228437773	0.492948294734518	-0.853123813349384	0.586538573798163	-9.89928191219161e-06	0.784471145880649	0.711125354909828	-1	0.00382661388678424	-3.62897013496424e-14	0.00511719024982487	0.00332319082190412	0.711639357088372	0.00155347167337209	-0.535622684208339	0.0337486849162365	3.45788504001362e-45
"wgEncodeAwgDnaseUwHrcepicUniPk"	-1.01333846865907e-09	-0.907973381454927	1	-0.19244840037736	0.309547073016533	-0.434833448120948	-0.632575845037576	-0.593862194609621	-0.00171235654378907	0.146981943797979	0.0097804312970931	0.777153127566654	2.08393938082298e-13	-9.72919819850481e-17	0.00642784774322312	5.62123895634336e-05	0.556401183187147	0.00296672818144185	0.607294574441199	0.0935020050551039	4.5328805189614e-38
"wgEncodeUwHistoneH7esH3k36me3StdDiffa9dPkRep1"	-5.47390372894552e-64	0.347777674807073	-1	0.154370346429272	-0.00022851720931787	0.958026965695723	-1.85632823349143e-08	-2.91343427050495e-34	1.29922004232765e-13	-5.28378345201451e-05	1.18087585885252e-09	-1	0.000157054275009413	2.90154948340696e-23	0.482455202962862	1.84588482915052e-13	0.641479611168136	0.342004946236122	-0.970315482269031	0.0201372513853891	6.94339834299683e-15
"wgEncodeAwgTfbsSydhK562Atf3UniPk"	0.60976199270808	0.723063984430833	0.999912079433596	-0.897466868449249	-0.165366273011315	0.358294362840835	0.604677416087921	-0.345406034773293	-0.000128517674910923	0.937270189375498	0.277113209450156	-1	0.067231705529935	-0.232922604298493	0.124669524372267	0.351497147071484	-1	0.451268640224463	0.245342886646765	0.182413226530082	0.000906178180375117
"wgEncodeUwHistoneH7esH3k27me3StdHotspotsRep2"	-3.543960179734e-31	-1	-0.996074724165245	-0.77508621827957	0.000288036653181679	0.088065694398016	0.173738277414017	9.91103494912584e-05	-2.35864922770425e-05	1.08967440534785e-24	-0.311881195234469	0.252999717529526	-0.00645348182493638	-2.5007600755149e-17	2.36818593991493e-33	-7.07536502630104e-06	0.164658518896096	3.22841429795648e-10	0.986941613273316	2.60748605121089e-15	6.36144543967004e-08
"wgEncodeAwgDnaseDukeHepatocytesUniPk"	-1.40008146526582e-06	0.375749451965145	0.967339778201002	-0.901284195543153	0.354518306419109	0.217357639720403	-0.781172075270569	-0.333467305797695	-2.0735094062839e-15	0.114652062276548	0.90092174186886	0.700872100402425	4.98666076571814e-06	-6.15288526114993e-07	4.23671115691292e-06	0.000327797710956392	0.308420502111698	0.00620610692951461	0.524633357168571	3.11851738623253e-05	2.69842645793867e-23
"wgEncodeOpenChromChipMcf7Pol2SerumstvdPkRep1"	-1.2146707602216e-36	0.354138591379009	-0.958697445022575	0.0656201186266385	0.201951379846893	5.95200333328693e-05	6.02766538811392e-06	-0.0144477523114754	-1.83683058237145e-31	0.0986005873135411	0.00544144852278605	0.733303544033815	6.78164070515793e-18	-5.78517194588414e-73	1.54871270026667e-55	2.43499602727228e-08	0.0207816128152044	5.14561744660816e-42	0.363571967412901	4.19728961534695e-31	2.4851532719371e-102
"wgEncodeUwDnaseHmvecdbladHotspotsRep1"	-1.56562198892722e-98	-0.895074654924359	-1	0.31813683619789	0.366543628890787	0.000179294781960245	-0.729288949779895	-1.00606745717585e-16	-4.64160367977155e-22	0.958816430626054	0.0342904828908379	0.355371098077551	1.21453355518573e-42	-1.38331117160471e-32	1.91848562068688e-64	8.63769621910136e-18	0.0972183615247784	5.69185048648704e-47	0.119629689918496	3.94346679063371e-25	5.20241296787105e-193
"wgEncodeRikenCageSknshCellPapTssHmm"	-7.93695908072574e-134	-0.976646365917042	1	0.519067626555272	-1.85004641649652e-06	-0.987748676441146	-5.01605872700018e-08	0.910152272160332	1.45547147219479e-34	-1.35601463723834e-11	0.000345664550293631	-1	1.88851873667843e-10	9.22512108949535e-13	-0.713036405675886	0.00035300442388887	0.848589764371469	0.000695157889685872	-0.992695565311753	-0.382291807443891	4.58932831400018e-08
"wgEncodeAwgTfbsBroadH1hescEzh239875UniPk"	-5.59358127970708e-33	0.90120103199545	1	-0.0717588425875225	3.21463595102591e-06	0.621559871984134	0.730873814282519	1.88187543343711e-08	-1.98883662322696e-05	2.8761890330701e-43	-0.199788941469564	1	-2.12698176193815e-06	-5.68080266453308e-13	2.11503239261068e-28	-2.31363856683931e-09	0.796075867907213	0.0209176726250887	-0.9669643498755	2.53752398546506e-15	2.53083642083316e-06
"wgEncodeUwTfbsGm12872CtcfStdPkRep1"	-1.11087545571055e-09	0.942153330937281	0.760288486776873	-1	1.13186866459847e-05	0.866734836120115	0.981335469190474	-0.425262551248084	-2.22317348245593e-11	0.4411951301472	0.180385671724109	0.717850265316663	3.12705554234766e-11	-9.0051382406e-21	1.24176560379081e-09	0.00899736183450643	0.45437245903037	0.00120525202931658	-0.112604777069986	0.00635321643271036	2.11196101673284e-49
"wgEncodeOpenChromDnaseHuh75Pk"	-4.56897658205482e-22	0.000324264971729849	1	0.981023292879067	0.0765660748973327	3.86143369831403e-13	2.86232542932897e-10	-1.43658340917521e-21	-2.73733577877182e-151	0.000218706081312006	0.359213879168687	0.4250621388936	1.07892214421086e-42	-2.13200810175726e-23	8.2135436061598e-25	5.13265110035111e-13	0.00383633206006082	3.16676628989477e-32	0.00180865113170302	9.14340577904198e-34	1.18901836027981e-183
"wgEncodeUwHistoneK562H3k36me3StdHotspotsRep2"	-4.54126632164175e-175	0.513493602361531	0.956047026436133	8.42658100827164e-07	-9.75992628264735e-13	0.568103369028239	-3.62015807498015e-17	-7.39737885049516e-113	4.38250115141253e-13	-4.15852914703905e-24	2.83478743026844e-27	0.952407978050651	2.91866685891746e-47	1.87052850003398e-79	-0.00012238604857888	6.08693925300311e-35	0.0411759180390668	0.900032924832697	0.0259419479533498	7.6191721697494e-05	4.6544711391397e-66
"wgEncodeHaibTfbsH1hescSrfPcr1xPkRep1"	-0.396907312502016	0.562127812778374	-1	-1	-0.468634803100839	0.0366518211744653	-0.163130412075872	-0.341519671955954	-0.0433220292802933	-0.750314925494009	0.869825760030227	-1	0.000192698978662694	-1.33611030944456e-05	0.00081746072076641	0.0202323453279059	-1	3.36124625853535e-24	-1	0.185302105851444	0.00468936856726
"wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk"	-1.07327450206827e-06	0.716096271735639	-1	-0.711908749831316	0.430570749770397	0.313900100551269	0.73839868514213	-0.580138962608728	-6.49533994585989e-05	0.919039430689478	0.0962652093923046	0.84426386093644	0.000815618481658396	-6.05474813548882e-07	9.49718352309062e-13	0.318946697142296	0.852003288562184	0.545104612434947	0.0656229594145508	0.00290165125978	1.57404040834378e-17
"wgEncodeUwDnaseHgfHotspotsRep1"	-9.60569644928064e-55	-0.658543950324759	-1	0.341873189542873	0.400722765410812	0.00207567876451901	-0.112116819215044	-4.34082002234374e-09	-8.76415253949717e-11	0.24382315047904	0.0340907516706139	-1	8.82732962367012e-36	-7.59320951762229e-23	7.21984705280126e-24	2.06070680182013e-10	0.677429598308992	3.56066613618465e-25	0.0365018235551472	1.76039665681662e-13	8.31774520108493e-109
"wgEncodeBroadHistoneNhdfadH3k4me2StdPk"	-6.36055004678459e-158	-0.970365603498975	-0.902428983762858	0.433111887215867	-0.000844088736816143	0.000181437658794608	-0.0114191605263972	-7.00884376148103e-34	-0.00239622994645562	0.234448489026929	0.0244765893921866	0.36309873037121	2.1870734036861e-31	-0.256210766120685	7.9857891499798e-61	2.83462391136467e-10	0.164252458786036	2.73328065061216e-31	0.024700801819177	1.37741959321816e-21	3.00687475436276e-163
"wgEncodeUwTfbsHacCtcfStdHotspotsRep2"	-4.54805870340536e-31	0.427772201647143	-0.775001451758932	-0.870586220193897	0.390381369709697	0.0139973389901622	-0.197770262342553	-1.98313152696728e-07	-0.0117261412639078	-0.755821863197669	0.245191137345054	1	5.55918398772085e-15	-1.85511111588222e-07	5.3746649382225e-35	0.00013102461731912	0.724830609194932	1.08260109716745e-09	1	0.000119869654082001	9.72136595074365e-50
"wgEncodeAwgDnaseDukeHsmmembUniPk"	-5.28281433862646e-20	1	-1	0.70294505876035	0.00520766467918045	0.219354173201456	0.975561911557423	-0.48601682803345	-1.04644433107649e-11	3.45788406585794e-06	0.00548079440648664	-1	6.29489312436251e-18	-2.81458242703646e-27	3.14671285865218e-08	0.0154100657384786	0.267171591546993	9.36426335003035e-05	0.0633503075831059	3.20853715602301e-05	4.08185951145521e-57
"wgEncodeCshlShortRnaSeqK562NucleolusShortTransfrags"	-3.17973188206498e-62	1	-1	0.430017656562	-0.106003593552925	0.0253516587824303	-0.000305022424791166	-2.86968929256625e-22	5.44920963982355e-07	-0.000647362509061163	-0.757048596856634	0.96642190786756	2.77266859861607e-14	1.6680351546458e-22	0.46962976857587	4.69131626622781e-06	0.929396659414753	0.427745998153811	0.18614304486805	0.786813594135546	1.15085581552407e-21
"wgEncodeAwgTfbsUwHmecCtcfUniPk"	-7.65567668897372e-09	0.680747204476733	1	-0.89864548354467	0.0370726953692855	0.324035004750062	-0.362540748245616	-0.450799137039218	-1.576243363942e-08	0.438042004282401	0.432442939475919	0.897038346495476	0.00105340213678772	-1.98605932495231e-18	1.57884355252839e-16	0.00401304263194873	1	1.80375974500051e-06	-0.729640929516125	5.34036591800203e-05	1.23180469504951e-49
"wgEncodeHaibTfbsH1hescSin3ak20Pcr1xPkRep1"	-1.69467794975106e-31	-0.728621454970202	-1	1	0.00170984286870914	3.25335027678512e-09	-0.117882298464119	-0.00139914345507894	-2.40100711601714e-26	0.282232559934656	0.000172194998202712	0.329426385594457	3.36464856372863e-14	-1.24425401134859e-52	1.61645469964985e-29	1.15544774763428e-12	0.113076515632134	2.50310976139861e-35	0.0124699962899489	2.214058612797e-19	2.99663409774348e-112
"wgEncodeHaibTfbsSknshFosl2V0422111PkRep2"	-0.131588015381873	-1	-1	-0.839674713123519	-0.506177681095595	-0.173085856936118	1	0.48447216290941	0.405072245658201	-0.707794696934432	0.307784089389466	-1	0.193581612793394	-0.427897254828332	-0.0173595485676445	0.0212186119608264	-0.121444086815028	0.616856838330823	-0.765375528203138	-0.576313592951303	0.116416614509852
