chainSarHar1	Tasmanian devil (Feb. 2011 (WTSI Devil_ref v7.0/sarHar1)) Chained Alignments
chainPanTro4	Chimp (Feb. 2011 (CSAC 2.1.4/panTro4)) Chained Alignments
chainMm10	Mouse (Dec. 2011 (GRCm38/mm10)) Chained Alignments
mrna	Human mRNAs from GenBank
tgpPhase1AccessibilityPilotCriteria	1000 Genomes Project Phase 1 Paired-end Accessible Regions - Pilot Criteria
wgEncodeHaibRnaSeqA549Dex100nmRawRep1	A549 DEX 1 hr 100 nM RNA-seq Raw Signal Rep 1 from ENCODE/HAIB
lincRNAsCTAdipose	lincRNAs from adipose
snpArrayAffy6	Affymetrix SNP 6.0
cons100wayViewphyloP	Vertebrate Multiz Alignment & Conservation (100 Species)
wgEncodeGencodeBasicV7	Basic Gene Annotation Set from ENCODE/GENCODE Version 7
wgEncodeGencodeBasicV14	Basic Gene Annotation Set from ENCODE/GENCODE Version 14
wgEncodeGencodeBasicV17	Basic Gene Annotation Set from ENCODE/GENCODE Version 17
wgEncodeGencodeBasicV19	Basic Gene Annotation Set from ENCODE/GENCODE Version 19
clinvarMain	ClinVar Variants, CNVs Excluded
snp138Common	Simple Nucleotide Polymorphisms (dbSNP 138) Found in >= 1% of Samples
cons100way	Vertebrate Multiz Alignment & Conservation (100 Species)
cons100wayViewelements	Vertebrate Multiz Alignment & Conservation (100 Species)
affyExonProbesetCore	Affymetrix Human Exon Array Core Probesets
cpgIslandExt	CpG Islands (Islands < 300 Bases are Light Green)
wgEncodeCrgMapabilityAlign24mer	Alignability of 24mers by GEM from ENCODE/CRG(Guigo)
uMassBrainHistonePeaksInfant	Developmental Brain Histone H3K4me3 from UMMS
dgvMerged	Database of Genomic Variants: Structural Variant Regions (CNV, Inversion, In/del)
dhcVcfDNK02	Dinka Individual Variant Calls
eioJcviNASPos	CD34+ cells Nuclease Accessible Sites
cons100wayViewphastcons	Vertebrate Multiz Alignment & Conservation (100 Species)
wgEncodeReg	Integrated Regulation from ENCODE
bamSLFeld1	Feld1 Sequence Reads
dhcHumDerDenAncAllFixed	Modern Human Derived (Fixed), Denisova Ancestral: All
wgEncodeGisRnaPetGm12878CytosolPapClustersRep1V2	GM12878 cytosol polyA+ clone-based RNA PET Clusters Rep 1 from ENCODE/GIS
wgEncodeGisRnaSeqGm12878CytosolPapAlnRep1	GM12878 cytosol polyA+ RNA-seq Alignments rep 1 from ENCODE/GIS
wgEncodeBroadHistoneGm12878H3k4me1StdSig	H3K4Me1 Mark (Often Found Near Regulatory Elements) on GM12878 Cells from ENCODE
wgEncodeBroadHistoneGm12878H3k4me3StdSig	H3K4Me3 Mark (Often Found Near Promoters) on GM12878 Cells from ENCODE
wgEncodeRegTxnCaltechRnaSeqGm12878R2x75Il200SigPooled	Transcription of GM12878 cells from ENCODE
wgEncodeRegMarkH3k27acGm12878	H3K27Ac Mark (Often Found Near Regulatory Elements) on GM12878 Cells from ENCODE
wgEncodeHaibMethyl450Gm12878SitesRep1	GM12878 Methylation 450K Bead Array from ENCODE/HAIB
wgEncodeDukeAffyExonGm12878SimpleSignalRep1V2	GM12878 Exon array Signal Rep 1 from ENCODE/Duke
wgEncodeHaibMethylRrbsGm12878HaibSitesRep1	GM12878 Methyl-RRBS Rep 1 from ENCODE/HudsonAlpha
wgEncodeHaibGenotypeGm12878RegionsRep1V2	GM12878 Copy number variants Replicate 1 from ENCODE/HAIB
wgEncodeUwAffyExonArrayGm12878SimpleSignalRep1	GM12878 Exon array Signal Rep 1 from ENCODE/UW
wgEncodeGisDnaPetGm12878F1kAln	ENCODE GIS DNA PET Alignments (1k frags in GM12878 cells)
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk	GM12878 TFBS Uniform Peaks of ATF2_(SC-81188) from ENCODE/HudsonAlpha/Analysis
wgEncodeUncBsuProtGencGm12878CellIngelpepMapGcFt	GM12878 In-gel ProtG GENCODE11 Hg19 Mapping from ENCODE/UNC/BSU
wgEncodeSunyAlbanyGeneStGm12878Celf1RbpAssocRnaV2	GM12878 CELF1 RBP Associated RNA by RIP-chip GeneST from ENCODE/SUNY
wgEncodeAffyRnaChipFiltTransfragsGm12878CellTotal	GM12878 whole cell total Microarray Transfrags from ENCODE Affy/CSHL
wgEncodeAwgSegmentationChromhmmGm12878	GM12878 Genome Segmentation by ChromHMM from ENCODE/Analysis
wgEncodeBroadHmmGm12878HMM	GM12878 Chromatin State Segmentation by HMM from ENCODE/Broad
wgEncodeOpenChromChipGm12878CmycPk	GM12878 cMyc TFBS ChIP-seq Peaks from ENCODE/OpenChrom-UTA
wgEncodeBroadHistoneGm12878CtcfStdPk	GM12878 CTCF Histone Mods by ChIP-seq Peaks from ENCODE/Broad
wgEncodeAwgDnaseUwdukeGm12878UniPk	GM12878 DNaseI HS Uniform Peaks from ENCODE/Analysis
wgEncodeSunyAlbanyTilingGm12878Elavl1RbpAssocRna	GM12878 ELAVL1 RBP Associated RNA by Tiling Array from ENCODE/SUNY
wgEncodeSunyRipSeqGm12878Elavl1AlnRep1	GM12878 ELAVL1 RIP-seq Alignments Rep 1 from ENCODE/SUNY
wgEncodeOpenChromFaireGm12878Pk	GM12878 FAIRE Peaks from ENCODE/OpenChrom(UNC)
wgEncodeUwRepliSeqGm12878G1bPctSignalRep1	GM12878 G1b-Phase Repli-seq Percentage-normalized Signal Rep 1 from ENCODE/UW
wgEncodeUwDnaseGm12878HotspotsRep1	GM12878 DNaseI HS HotSpots Rep 1 from ENCODE/UW
wgEncodeUncBsuProtGm12878MembranefractionSig	GM12878 Membrane Proteogenomic Hg19 Mapping Hits from ENCODE/UNC/BSU
wgEncodeOpenChromDnaseGm12878Pk	GM12878 DNaseI HS Peaks from ENCODE/Duke
wgEncodeUmassDekker5CGm12878PkV2	GM12878 5C Peaks from ENCODE/UMass-Dekker
wgEncodeSydhNsomeGm12878Sig	GM12878 Nucleosome Signal from ENCODE/Stanford/BYU
