term1	term2	sharedRels	obsExp	minMim	directStr	relOverlap	misn
colorectal cancer	colorectal cancer	3706	6.435	2493.253275		1	0.952421302
colorectal cancer	Breast cancer	2963	3.423	440.6082742	2583.1	0.799514301	0.45010338
colorectal cancer	Prostate cancer	2338	3.864	329.6965168	876.5	0.630868861	0.404075148
colorectal cancer	Melanoma	1969	3.376	335.5754823	649	0.531300594	0.359649446
colorectal cancer	ovarian cancer	1888	3.798	359.5084208	579.3	0.509444145	0.4252297
colorectal cancer	Neuroblastoma	1298	2.604	188.7091958	47.6	0.350242849	0.264991282
colorectal cancer	AML	1200	2.739	181.321582	43.8	0.323799244	0.221375488
colorectal cancer	BLADDER CANCER	1191	3.056	205.111864	156.4	0.32137075	0.377481072
colorectal cancer	MULTIPLE MYELOMA	1024	2.371	130.0565591	67.3	0.276308689	0.224103506
colorectal cancer	CHRONIC LYMPHOCYTIC LEUKEMIA	758	2.15	101.3883204	32	0.204533189	0.17932133
colorectal cancer	ENDOMETRIAL CANCER	630	2.235	229.8728186	371.3	0.169994603	0.318943112
colorectal cancer	Head and Neck cancer	605	2.069	148.1175904	146.1	0.163248786	0.310764881
colorectal cancer	Lung adenocarcinoma	557	1.796	151.0001873	46.3	0.150296816	0.295460525
colorectal cancer	GLIOBLASTOMA MULTIFORME	527	1.758	111.0356012	17.1	0.142201835	0.228379432
colorectal cancer	Medulloblastoma	426	1.568	109.4448006	18.4	0.114948732	0.192445263
colorectal cancer	diffuse large B-cell lymphoma	278	1.077	56.24634792	10	7.50E-02	0.115104083
colorectal cancer	Carcinoid tumors	255	1.116	73.18636796	38.5	6.88E-02	0.169645151
colorectal cancer	Renal carcinoma	211	0.88	45.82365469	28.9	5.69E-02	0.193196015
colorectal cancer	esophageal adenocarcinoma	158	0.809	54.26202484	27.5	4.26E-02	0.173428193
colorectal cancer	lung squamous cell carcinoma	25	0.153	10.83337004		6.75E-03	0.076965372
colorectal cancer	rhabdoid tumor	21	0.14	3.601956366		5.67E-03	1.96E-02
Neuroblastoma	Neuroblastoma	2316	6.952	5071.803121		1	0.847645007
Neuroblastoma	Breast cancer	1785	3.186	245.2915737	318.9	0.770725389	0.326216533
Neuroblastoma	Melanoma	1456	3.776	522.7980529	492.3	0.628670121	0.360524441
Neuroblastoma	Prostate cancer	1424	3.568	210.6652281	88.3	0.614853195	0.296615029
Neuroblastoma	colorectal cancer	1298	3.406	188.7091958	47.6	0.56044905	0.264991282
Neuroblastoma	ovarian cancer	1171	3.524	243.9910897	85.8	0.505613126	0.314290106
Neuroblastoma	AML	944	3.191	310.9726391	105	0.407599309	0.252492602
Neuroblastoma	MULTIPLE MYELOMA	833	2.853	287.6755023	65.4	0.359671848	0.242435336
Neuroblastoma	BLADDER CANCER	781	2.936	150.1645694	23.3	0.337219344	0.260263151
Neuroblastoma	CHRONIC LYMPHOCYTIC LEUKEMIA	641	2.639	204.5376695	8.7	0.276770294	0.21229086
Neuroblastoma	GLIOBLASTOMA MULTIFORME	539	2.562	337.9865106	75.7	0.232728843	0.259281409
Neuroblastoma	Medulloblastoma	465	2.411	510.0051061	364	0.200777202	0.281334764
Neuroblastoma	Lung adenocarcinoma	449	2.072	227.3660097	14.2	0.193868739	0.250845378
Neuroblastoma	Head and Neck cancer	415	2.016	110.3362013	7.9	0.179188256	0.190943598
Neuroblastoma	ENDOMETRIAL CANCER	387	1.942	96.98162875		0.167098446	0.167629298
Neuroblastoma	diffuse large B-cell lymphoma	245	1.328	130.2039789		0.105785838	0.12327403
Neuroblastoma	Carcinoid tumors	204	1.227	111.0465291	25	8.81E-02	0.114021375
Neuroblastoma	Renal carcinoma	201	1.16	92.38704931	27.2	8.68E-02	0.164150908
Neuroblastoma	esophageal adenocarcinoma	107	0.734	31.26092393		4.62E-02	7.81E-02
Neuroblastoma	rhabdoid tumor	31	0.263	114.597486	8	1.34E-02	5.19E-02
Neuroblastoma	lung squamous cell carcinoma	21	0.166	10.55964586		9.07E-03	3.31E-02
ENDOMETRIAL CANCER	ENDOMETRIAL CANCER	1645	12.103	2674.273937		1	0.945027264
ENDOMETRIAL CANCER	Breast cancer	1541	3.906	458.6891918	1168.5	0.936778116	0.448837614
ENDOMETRIAL CANCER	ovarian cancer	1355	5.867	408.9174799	866.3	0.823708207	0.401741281
ENDOMETRIAL CANCER	Prostate cancer	1311	4.702	239.044793	73	0.796960486	0.340511696
ENDOMETRIAL CANCER	colorectal cancer	1261	4.742	339.6592235	371.3	0.76656535	0.365451681
ENDOMETRIAL CANCER	Melanoma	1106	4.107	232.3060507	54.8	0.672340426	0.254870891
ENDOMETRIAL CANCER	BLADDER CANCER	960	5.237	173.5340845	20.8	0.583586626	0.303446323
ENDOMETRIAL CANCER	Neuroblastoma	853	3.681	180.968592		0.518541033	0.206077523
ENDOMETRIAL CANCER	AML	843	4.113	126.3224917	6.6	0.512462006	0.159263935
ENDOMETRIAL CANCER	MULTIPLE MYELOMA	792	3.918	123.0464219	19.9	0.481458967	0.180295871
ENDOMETRIAL CANCER	Head and Neck cancer	651	4.65	142.4694786		0.395744681	0.259978792
ENDOMETRIAL CANCER	Lung adenocarcinoma	649	4.386	176.3176644	3.1	0.394528875	0.268775829
ENDOMETRIAL CANCER	CHRONIC LYMPHOCYTIC LEUKEMIA	621	3.718	87.82318641	3.6	0.377507599	0.135284142
ENDOMETRIAL CANCER	GLIOBLASTOMA MULTIFORME	594	4.142	145.0291495		0.361094225	0.2062878
ENDOMETRIAL CANCER	Medulloblastoma	516	3.94	125.6957096	4.4	0.313677812	0.185458337
ENDOMETRIAL CANCER	Renal carcinoma	367	3.142	90.02452133		0.223100304	0.198431363
ENDOMETRIAL CANCER	diffuse large B-cell lymphoma	358	2.865	77.20739996		0.217629179	0.118266668
ENDOMETRIAL CANCER	Carcinoid tumors	291	2.604	80.42018459		0.176899696	0.145854174
ENDOMETRIAL CANCER	esophageal adenocarcinoma	270	2.79	73.16164901		0.164133739	0.191811858
ENDOMETRIAL CANCER	lung squamous cell carcinoma	80	0.964	28.17106941		4.86E-02	0.105316287
ENDOMETRIAL CANCER	rhabdoid tumor	26	0.336	6.455508354		1.58E-02	2.34E-02
Melanoma	Melanoma	3685	6.324	5198.298324		1	0.933103361
Melanoma	Breast cancer	2900	3.359	447.163628	2536.7	0.78697422	0.416219248
Melanoma	Prostate cancer	2191	3.625	342.3204809	765.2	0.594572592	0.377321128
Melanoma	colorectal cancer	1969	3.422	335.5754823	649	0.534328358	0.359649446
Melanoma	ovarian cancer	1735	3.49	372.9840974	521.5	0.47082768	0.398704904
Melanoma	Neuroblastoma	1456	2.921	522.7980529	492.3	0.395115332	0.360524441
Melanoma	AML	1245	2.839	327.7597051	111.1	0.337856174	0.255948424
Melanoma	MULTIPLE MYELOMA	1082	2.503	299.4472385	151.5	0.293622795	0.262190755
Melanoma	BLADDER CANCER	1077	2.758	218.3785155	150.5	0.292265943	0.340424938
Melanoma	CHRONIC LYMPHOCYTIC LEUKEMIA	857	2.425	235.6780205	82.5	0.23256445	0.233850439
Melanoma	GLIOBLASTOMA MULTIFORME	582	1.933	251.4508977	86.2	0.157937585	0.242858528
Melanoma	Head and Neck cancer	558	1.899	154.8793357	103.9	0.151424695	0.255587746
Melanoma	ENDOMETRIAL CANCER	532	1.878	131.0601499	54.8	0.144369064	0.21500512
Melanoma	Lung adenocarcinoma	530	1.702	213.2358827	66.4	0.143826323	0.29533128
Melanoma	Medulloblastoma	462	1.692	197.5795256	64.4	0.125373134	0.204993269
Melanoma	diffuse large B-cell lymphoma	289	1.113	93.60940545	9.2	7.84E-02	0.116149143
Melanoma	Carcinoid tumors	239	1.038	78.10312806	24.3	6.49E-02	0.140957657
Melanoma	Renal carcinoma	222	0.919	118.9202953	143.4	6.02E-02	0.22748824
Melanoma	esophageal adenocarcinoma	127	0.643	35.18591869	7	3.45E-02	9.77E-02
Melanoma	rhabdoid tumor	30	0.197	18.25912511		8.14E-03	2.42E-02
Melanoma	lung squamous cell carcinoma	26	0.157	13.47726905		7.06E-03	5.51E-02
Lung adenocarcinoma	Lung adenocarcinoma	1120	10.161	2776.427741		1	0.813349302
Lung adenocarcinoma	Breast cancer	1046	3.794	223.6294368	139.3	0.933928571	0.362222216
Lung adenocarcinoma	Prostate cancer	963	4.863	188.0415736	34.6	0.859821429	0.328420557
Lung adenocarcinoma	colorectal cancer	952	5.029	230.0381304	46.3	0.85	0.335311514
Lung adenocarcinoma	ovarian cancer	922	5.56	234.9773563	48.5	0.823214286	0.36472633
Lung adenocarcinoma	Melanoma	901	4.705	329.5208366	66.4	0.804464286	0.337447811
Lung adenocarcinoma	BLADDER CANCER	778	5.816	184.4305611	8.5	0.694642857	0.354150909
Lung adenocarcinoma	Neuroblastoma	758	4.559	345.2136362	14.2	0.676785714	0.288981746
Lung adenocarcinoma	AML	705	4.756	170.5673539	5.4	0.629464286	0.201584867
Lung adenocarcinoma	MULTIPLE MYELOMA	631	4.311	142.9613206	4.8	0.563392857	0.197570972
Lung adenocarcinoma	CHRONIC LYMPHOCYTIC LEUKEMIA	528	4.302	111.1107627	4.1	0.471428571	0.179198945
Lung adenocarcinoma	Head and Neck cancer	510	4.87	181.5450233	4	0.455357143	0.307989548
Lung adenocarcinoma	ENDOMETRIAL CANCER	499	4.911	143.1710002		0.445535714	0.253225608
Lung adenocarcinoma	GLIOBLASTOMA MULTIFORME	497	4.647	197.7879716		0.44375	0.264883857
