""	"Row.names"	"V2"	"c1"	"c2"	"adj.P.Val"	"P.Value"
"1"	"wgEncodeBroadHistoneA549H3k27me3Dex100nmPk"	"A549 DEX 100 nM H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	4.21823991774420e-42	-1.17605222795827e-19	0.288368931549691	0.233670370735317
"2"	"wgEncodeBroadHistoneA549H3k27me3Etoh02Pk"	"A549 EtOH 0.02% H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	2.09508433785712e-41	-1.9254260768693e-19	0.30949717038018	0.252663497164626
"3"	"wgEncodeBroadHistoneOsteoblH3k9me3StdPk"	"Osteoblasts H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	3.02093821717671e-44	-2.19778245794722e-16	0.258593523048553	0.200902815552295
"4"	"wgEncodeBroadHistoneHuvecH3k09me3Pk"	"HUVEC H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.59556016720017e-43	-1.59490454663788e-15	0.260315660306188	0.202474220987033
"5"	"wgEncodeBroadHistoneNhekH3k09me3Pk"	"NHEK H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.15053050616601e-43	-7.06106571925769e-14	0.261134574748926	0.203228275550117
"6"	"wgEncodeBroadHistoneNhlfH3k09me3Pk"	"NHLF H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	4.44616449186681e-36	-5.70688879730396e-14	0.240031298309339	0.184436605225584
"7"	"wgEncodeBroadHistoneHelas3H3k27me3StdPk"	"HeLa-S3 H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.33860576598603e-32	-5.69332834654771e-15	0.35886626761917	0.298921117534802
"8"	"wgEncodeBroadHistoneDnd41H3k27me3Pk"	"Dnd41 H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.51582822795494e-33	-2.17835033320635e-07	0.279768766839058	0.219800394395529
"9"	"wgEncodeBroadHistoneHepg2H3k09me3Pk"	"HepG2 H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	2.92737567925801e-30	-1.92208096993615e-10	0.202323026116224	0.151787633494369
"10"	"wgEncodeBroadHistoneHsmmtH3k27me3Pk"	"HSMMtube H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	4.42465757741027e-28	-1.8341950300606e-12	0.371108561485259	0.310116952613354
"11"	"wgEncodeBroadHistoneHmecH3k27me3StdPk"	"HMEC H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.91536258050363e-25	-2.68164912042548e-10	0.351260317925956	0.292034362975212
"12"	"wgEncodeBroadHistoneGm12878H3k27me3StdPkV2"	"GM12878 H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	2.10806833904653e-23	-1.30435610052158e-09	0.338027653599252	0.27959282827974
"13"	"wgEncodeBroadHistoneHmecH3k09me3Pk"	"HMEC H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	4.09051327737524e-25	-2.01018010637146e-07	0.156162394802265	0.112850089338049
"14"	"wgEncodeBroadHistoneA549H3k09me3Etoh02Pk"	"A549 EtOH 0.02% H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	6.76180268956512e-22	-1.73319172862494e-10	0.159948217665586	0.11590866356394
"15"	"wgEncodeBroadHistoneNhdfadH3k09me3Pk"	"NHDF-Ad H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.20581947515939e-20	-4.45240418921506e-08	0.224097336769071	0.170836534756691
"16"	"wgEncodeBroadHistoneMonocd14ro1746H3k09me3Pk"	"Monocytes CD14+ H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.46339964339282e-22	-7.81722548613328e-06	0.172518233119601	0.126294177384641
"17"	"wgEncodeBroadHistoneDnd41Ezh239875Pk"	"Dnd41 EZH2 (39875) Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.5245096104647e-20	-1.74454204772314e-05	0.457732260003691	0.391432923689255
"18"	"wgEncodeBroadHistoneOsteoH3k27me3Pk"	"Osteoblasts H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.23208519809594e-17	-1.20224951531562e-05	0.28752393181528	0.227891726225788
"19"	"wgEncodeBroadHistoneNhaH3k09me3Pk"	"NH-A H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.60459837216293e-16	-1.0203404866907e-06	0.166244861572806	0.121403478507316
"20"	"wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep2"	"AG04450 H3K9me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW"	5.436381668779e-19	-0.00142074676650836	0.262692851996221	0.204676605535172
"21"	"wgEncodeBroadHistoneK562H3k27me3StdPk"	"K562 H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	2.51545408305646e-17	-4.14622228171553e-05	0.294512116751519	0.239373637494228
"22"	"wgEncodeBroadHistoneHsmmH3k27me3StdPk"	"HSMM H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	6.95014407193715e-15	-5.87559028988373e-06	0.313844682009092	0.256494140341511
"23"	"wgEncodeBroadHistoneHuvecH3k27me3StdPk"	"HUVEC H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.8951539495713e-14	-3.77273077527982e-05	0.288368931549691	0.232065990324457
"24"	"wgEncodeBroadHistoneHelas3Ezh239875Pk"	"HeLa-S3 EZH2 (39875) Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	9.40016441909709e-14	-9.25318430222691e-06	0.572279721586261	0.496959498139818
"25"	"wgEncodeBroadHistoneNhdfadH3k27me3StdPk"	"NHDF-Ad H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	5.34871542857858e-15	-0.000195379080342938	0.32062414899062	0.263033905175354
"26"	"wgEncodeBroadHistoneHsmmtH3k09me3Pk"	"HSMMtube H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.96285734170919e-12	-8.8207522680141e-06	0.153096255334613	0.110119458994044
"27"	"wgEncodeBroadHistoneH1hescH3k09me3StdPk"	"H1-hESC H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.94345161552632e-14	-0.000974079925301012	0.0968759397650103	0.0606808321519735
"28"	"wgEncodeBroadHistoneNhekH3k27me3StdPk"	"NHEK H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	2.39721929063846e-13	-0.000117828008544758	0.441740728393446	0.376569114204458
"29"	"wgEncodeBroadHistoneCd20ro01794Ezh239875Pk"	"CD20+ RO01794 EZH2 (39875) Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	7.20748808555785e-13	-4.43981816323022e-05	0.104097433951091	0.067313228590795
"30"	"wgEncodeBroadHistoneDnd41H3k09me3Pk"	"Dnd41 H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	1.42312873202892e-16	-0.281381390022526	0.327498818953495	0.269782659380076
"31"	"wgEncodeBroadHistoneNhlfH3k27me3StdPk"	"NHLF H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	2.7525879959172e-12	-0.00394583549610504	0.385824415878304	0.324144413967714
"32"	"wgEncodeBroadHistoneHelas3H3k09me3Pk"	"HeLa-S3 H3K9me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	7.76439754221439e-09	-3.08710770417762e-05	0.366155857403375	0.305731931159231
"33"	"wgEncodeBroadHistoneNhaH3k27me3StdPk"	"NH-A H3K27me3 Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	6.92467612370913e-10	-0.00269300930936989	0.464856166954506	0.398150349274936
"34"	"wgEncodeSunyAlbanyGeneStHepg2Elavl1RbpAssocRnaV2"	"HepG2 ELAVL1 RBP Associated RNA by RIP-chip GeneST from ENCODE/SUNY"	3.90460398314112e-08	-0.00715623625875575	0.195960421878888	0.146311256694327
"35"	"wgEncodeUwHistoneSknshraH3k27me3StdHotspotsRep2"	"SK-N-SH_RA H3K27me3 Histone Mod ChIP-seq Hotspots 2 from ENCODE/UW"	5.14206606175552e-07	-0.00100262042846888	0.684975405471837	0.615863537206742
"36"	"wgEncodeUwHistoneSknshraH3k27me3StdHotspotsRep1"	"SK-N-SH_RA H3K27me3 Histone Mod ChIP-seq Hotspots 1 from ENCODE/UW"	4.80022160791067e-07	-0.00494501457584894	0.613328571590839	0.535768635631818
"37"	"wgEncodeBroadHistoneH1hescH2azStdPk"	"H1-hESC H2A.Z Histone Mods by ChIP-seq Peaks from ENCODE/Broad"	5.94053558677592e-06	-0.000836521937045547	0.803944662508013	0.757258189954297
"38"	"wgEncodeSydhHistoneK562H3k27me3bUcdPk"	"K562 H3K27me3 Histone Modifications by ChIP-Seq Peaks from ENCODE/SYDH"	4.46216389548271e-07	-0.0260076116269292	0.536180742011923	0.463207264343484
"39"	"wgEncodeSydhHistonePbmcH3k9me3UcdPk"	"PBMC H3K9me3 Histone Modifications by ChIP-Seq Peaks from ENCODE/SYDH"	3.07673342981332e-07	-0.0676835331310934	0.464942176241217	0.398328263546567
