"Disease 1"	"Disease 2"	"Corr. coefficient"
"Colorectal cancer"	"Endometrial cancer"	0.894606053829193
"Bladder cancer"	"Kidney clear cell carcinoma"	0.82229083776474
"Diffuse large B-cell lymphoma"	"Multiple myeloma"	0.818825960159302
"Head and neck cancer"	"Multiple myeloma"	0.793464183807373
"Diffuse large B-cell lymphoma"	"Head and neck cancer"	0.777865946292877
"Bladder cancer"	"Multiple myeloma"	0.757529556751251
"Chronic lymphocytic leukemia"	"Head and neck cancer"	0.750550270080566
"Chronic lymphocytic leukemia"	"Multiple myeloma"	0.737411856651306
"Bladder cancer"	"Head and neck cancer"	0.730115115642548
"Colorectal cancer"	"Melanoma"	0.720679461956024
"Chronic lymphocytic leukemia"	"Diffuse large B-cell lymphoma"	0.712442100048065
"Breast cancer"	"Ovarian cancer"	0.710082352161407
"Breast cancer"	"Head and neck cancer"	0.70946329832077
"Breast cancer"	"Multiple myeloma"	0.698811292648315
"Bladder cancer"	"Breast cancer"	0.688121616840363
"Carcinoid"	"Chronic lymphocytic leukemia"	0.678022682666779
"Bladder cancer"	"Diffuse large B-cell lymphoma"	0.677616000175476
"Melanoma"	"Endometrial cancer"	0.675570011138916
"Chronic lymphocytic leukemia"	"Ovarian cancer"	0.663995206356049
"Lung adenocarcinoma"	"Melanoma"	0.658739447593689
"Breast cancer"	"Chronic lymphocytic leukemia"	0.647763967514038
"Kidney clear cell carcinoma"	"Multiple myeloma"	0.645815372467041
"Head and neck cancer"	"Ovarian cancer"	0.644258379936218
"Breast cancer"	"Kidney clear cell carcinoma"	0.632757842540741
"Multiple myeloma"	"Ovarian cancer"	0.621153473854065
"Breast cancer"	"Diffuse large B-cell lymphoma"	0.615326404571533
"Carcinoid"	"Head and neck cancer"	0.613660275936127
"Head and neck cancer"	"Kidney clear cell carcinoma"	0.610269010066986
"Diffuse large B-cell lymphoma"	"Ovarian cancer"	0.592423915863037
"Breast cancer"	"Carcinoid"	0.572782516479492
"Carcinoid"	"Multiple myeloma"	0.56574010848999
"Bladder cancer"	"Chronic lymphocytic leukemia"	0.556690156459808
"Bladder cancer"	"Ovarian cancer"	0.539916276931763
"Carcinoid"	"Ovarian cancer"	0.530120670795441
"Diffuse large B-cell lymphoma"	"Kidney clear cell carcinoma"	0.518135130405426
"Chronic lymphocytic leukemia"	"Kidney clear cell carcinoma"	0.513374984264374
"Carcinoid"	"Diffuse large B-cell lymphoma"	0.509021580219269
"Kidney clear cell carcinoma"	"Ovarian cancer"	0.508279740810394
"Colorectal cancer"	"Lung adenocarcinoma"	0.44899582862854
"Bladder cancer"	"Carcinoid"	0.422380894422531
