Abbriviation	Name	ICD-9 Code	ICD-9 Name	Name Match
AML_SNP	Acute myeloid leukemia	205	Myeloid leukemia acute	Yes
BLCA_SNP	Bladder cancer	188	Malignant neoplasm of bladder	No
BRCA_SNP	Breast cancer	174	"Malignant neoplasm of breast (female), unspecified"	No
CARC_SNP	Carcinoid	259	Carcinoid syndrome	No
CLL_SNP	Chronic lymphocytic leukemia	204	Lymphoid leukemia chronic	Yes
CRC_SNP	Colorectal cancer	153	"Malignant neoplasm of colon, unspecified site"	No
DLBCL_SNP	Diffuse large B-cell lymphoma	200	"Reticulosarcoma, unspecified site, extranodal and solid organ sites"	No
UCEC_SNP	Endometrial cancer	182	"Malignant neoplasm of corpus uteri, except isthmus"	No
ESO_SNP	Esophageal adenocarcinoma	150	"Malignant neoplasm of esophagus, unspecified site"	No
GBM_SNP	Glioblastoma multiforme	191	"Malignant neoplasm of brain, unspecified"	No
HNSC_SNP	Head and neck cancer	196	"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"	No
KIRC_SNP	Kidney clear cell carcinoma	189	"Malignant neoplasm of kidney, except pelvis"	No
LUAD_SNP	Lung adenocarcinoma	162	"Malignant neoplasm of bronchus and lung, unspecified"	No
LUSC_SNP	Lung squamous cell carcinoma	162	"Malignant neoplasm of bronchus and lung, unspecified"	No
MED_SNP	Medulloblastoma	191	Malignant neoplasm of cerebellum nos	No
MEL_SNP	Melanoma	172	Malignant melanoma of skin	No
MM_SNP	Multiple myeloma	203	Multiple myeloma	Yes
NB_SNP	Neuroblastoma	194	Malignant neoplasm of adrenal gland	No
OV_SNP	Ovarian cancer	183	Malignant neoplasm of ovary	No
PRAD_SNP	Prostate cancer	185	Malignant neoplasm of prostate	No
RHAB_SNP	Rhabdoid cancer	189	"Malignant neoplasm of kidney, except pelvis"	No
